nicho,cidade,nome,endereco,telefone,website,tipo,nota,reviews,Descricao,Latitude,Longitude
fotografia com drone Itajubá,Itajubá,Bild - Imagens aéreas / Drones,R. Manoel Gomes de Oliveira,,,Serviço de fotografia,5.0,2.0,"""Muito bom, recomendo a todos.""",-22.420082,-45.463108
fotografia com drone Itajubá,Itajubá,Gávea Drone Imagens Aéreas,,,,Fotógrafo aéreo,5.0,45.0,"""Lindas imagens com grande qualidade, trabalho excelente""",,
fotografia com drone Itajubá,Itajubá,Estúdio Lane Fotografias - Fotógrafa em Itajubá,,(35) 99742-6858,,Fotógrafo,5.0,8.0,"""Faz fotos excelentes tanto no studio quanto ao ar livre.""",,
fotografia com drone Itajubá,Itajubá,Ronaldo Fotógrafo,"R. Maj. Belo Lisboa, 103",(35) 3617-9974,,Fotógrafo de casamento,4.7,19.0,,-22.425285,-45.455196
empresa de automação residencial Itajubá,Itajubá,Techouse Segurança Eletrônica - Sistemas | Câmeras | Redes | Alarmes,Itajubá - MG,(35) 3623-8574,,Empresa de segurança,4.4,57.0,"""Super recomendo.""",-22.425575,-45.46214
empresa de automação residencial Itajubá,Itajubá,ICS - Automação e Redes Industriais,Itajubá - MG,(35) 3623-5066,,Empresa de Automação Empresarial,5.0,1.0,,-22.421944,-45.460636
empresa de automação residencial Itajubá,Itajubá,IE Tecnologia,Itajubá - MG,(35) 3622-1720,,Empresa de Automação Empresarial,3.9,16.0,"""No prazo.Fácil instalação.""",-22.425762,-45.442413
empresa de automação residencial Itajubá,Itajubá,Devstate Automação,Itajubá - MG,(31) 98400-5684,,Empresa de Automação Empresarial,5.0,1.0,"""Empresa responsável e muito competente.""",-22.430946,-45.44264
empresa de automação residencial Itajubá,Itajubá,Vector Automação,Itajubá - MG,(35) 3622-7522,,Fabricante,,,,-22.42476,-45.454647
empresa de automação residencial Itajubá,Itajubá,INVENT- Automação Industrial e Usinagem,Itajubá - MG,(35) 3623-3702,,Fabricante de maquinaria,5.0,3.0,,-22.423786,-45.475197
empresa de automação residencial Itajubá,Itajubá,Forte Larme,Itajubá - MG,(35) 98863-9046,,Empresa de segurança,5.0,23.0,"""Recomendo, empresa séria.""",-22.429548,-45.45509
empresa de automação residencial Itajubá,Itajubá,SR Segurança Eletrônica - Câmeras | Alarmes | Portões,Itajubá - MG,(35) 91001-4727,,Empresa de segurança,3.9,14.0,"""Foram rápidos e muito competentes!""",-22.4301,-45.460377
empresa de automação residencial Itajubá,Itajubá,Central das Câmeras e Concertinas,Itajubá - MG,(35) 99868-1108,,Fornecedor de sistema de segurança,5.0,8.0,"""Profissionais ótimos, instalaram câmera na minha casa""",-22.428127,-45.461956
empresa de automação residencial Itajubá,Itajubá,USM Indústria e Comércio,Itajubá - MG,(35) 99743-5358,,Fabricante de ferramentas,5.0,3.0,"""Ótimo atendimento, qualidade e honestidade na prestação de serviço.""",-22.42613,-45.481598
empresa de automação residencial Itajubá,Itajubá,EMDEP - Brasil Indústria e Comércio Ltda.,Itajubá - MG,(35) 3622-6300,,Loja de materiais elétricos,4.3,16.0,,-22.423824,-45.484936
empresa de automação residencial Itajubá,Itajubá,Sistel Material Elétrico - Itajubá,Itajubá - MG,(35) 98853-5225,,Loja de materiais elétricos,4.1,54.0,"""Bom atendimento.""",-22.428326,-45.45492
empresa de automação residencial Itajubá,Itajubá,Cabelauto Condutores Elétricos Ltda.,Itajubá - MG,(35) 3629-2500,,Fabricante,4.7,13.0,"""Referência de mercado""",-22.459322,-45.420647
empresa de automação residencial Itajubá,Itajubá,Carnaúba Tech,Itajubá - MG,(35) 99811-0545,,Loja de Informática,,,,-22.41288,-45.448696
empresa de automação residencial Itajubá,Itajubá,Higident do Brasil,Itajubá - MG,(35) 3629-7500,,Fabricante,3.1,13.0,"""Empresa seria em nossa cidade de Itajubá MG""",-22.425367,-45.476604
empresa de automação residencial Itajubá,Itajubá,AD do Brasil,Itajubá - MG,(35) 3622-0802,,Circuito fechado de TV,3.0,2.0,,-22.424955,-45.468002
empresa de automação residencial Itajubá,Itajubá,Serralheria Biguá,Itajubá - MG,(35) 99184-4249,,Serralharia,5.0,18.0,"""Atendimento rápido e super atenciosos, trabalho impecável!""",-22.432453,-45.44065
empresa de automação residencial Itajubá,Itajubá,3T SOLAR - Soluções em Energia | Energia Solar | Painéis Fotovoltáicos,Itajubá - MG,(35) 3622-0802,,Engenheiro,4.7,35.0,"""Empresa competente!""",-22.424833,-45.46815
marcenaria sob medida Itajubá,Itajubá,Bicho Preguiça Móveis Planejados e Marcenaria,"Av. Padre Lourenço da Costa-Rodovia Br-459, 923",(35) 99152-0609,,Moveleiro,5.0,65.0,"""Realizou o nosso sonho de ter a cozinha planejada e closset no quarto .""",-22.429565,-45.444866
marcenaria sob medida Itajubá,Itajubá,Marcenaria Augusto's,"R. Dr. Luiz Rennó, 100",(35) 99884-0881,,Marceneiro,4.8,27.0,,-22.430212,-45.459423
marcenaria sob medida Itajubá,Itajubá,Marcenaria Madeirart's Itajubá,Estrada Jurú Jurú,(35) 98426-8279,,Moveleiro,5.0,5.0,,-22.379145,-45.42859
marcenaria sob medida Itajubá,Itajubá,Renascença Marcenaria Itajubá,"R. Anardino de Souza, 343",(35) 99858-9443,,Marceneiro,5.0,1.0,,-22.419636,-45.480644
marcenaria sob medida Itajubá,Itajubá,Decor Marcenaria Itajubá,,(35) 99112-4794,,Marceneiro,5.0,1.0,,,
marcenaria sob medida Itajubá,Itajubá,ARTE FATO Moveis Planejados em Itajuba,"Av. Padre Lourenço da Costa-Rodovia Br-459, 341",(35) 99139-7654,,Marceneiro,5.0,1.0,"""Galera profissional e muito educados""",-22.431662,-45.44979
marcenaria sob medida Itajubá,Itajubá,Tora Movelaria,"R. Albert Starke, 31",(35) 3621-7577,,Moveleiro,5.0,1.0,,-22.423597,-45.474678
marcenaria sob medida Itajubá,Itajubá,Movelaria Itajubá,José Benedito de Carvalho,(35) 99734-6884,,Marceneiro,,,,-22.443514,-45.511623
marcenaria sob medida Itajubá,Itajubá,Marcenaria Limart Ambientes planejados,"R. Albert Starke, 85",(35) 99113-5979,,Loja de marcenaria,4.3,6.0,"""Excelente qualidade,e ótimos profissões nota 1000""",-22.42409,-45.474983
marcenaria sob medida Itajubá,Itajubá,Conceitto Interiores,"R. Dona Maria Carneiro, 153",(35) 3622-6525,,Loja de marcenaria,4.9,28.0,"""A melhor empresa para fazer seus projetos, seus móveis planejados.""",-22.426226,-45.460648
marcenaria sob medida Itajubá,Itajubá,Marcenaria do Baiano,"R. Justino Ribeiro da Silva, 136",,,Marceneiro,,,,-22.424557,-45.493244
marcenaria sob medida Itajubá,Itajubá,Movelic,"Rua Engenheiro Albert Stark, 108",(35) 3623-1606,,Fabricante,3.7,6.0,"""Caso você procure projeto de muito bom gosto e qualidade.""",-22.42443,-45.475204
marcenaria sob medida Itajubá,Itajubá,Móveis N Toque Limitada (Fábrica),"Av. Pres. Tancredo de Almeida Neves, 584",(35) 3622-1515,,Marceneiro,5.0,5.0,"""Móveis de qualidade e bom atendimento""",-22.424545,-45.467987
marcenaria sob medida Itajubá,Itajubá,Inova Móveis Planejados,"Rodovia Itajubá Maria da Fé, Estr. Jurú, km 05",(35) 99174-5339,,Moveleiro,,,,-22.388239,-45.416386
marcenaria sob medida Itajubá,Itajubá,New Home Movelaria - Planejados,"Av. José theófilo, 1792",(35) 98479-0015,,Moveleiro,5.0,3.0,,-22.436106,-45.43581
marcenaria sob medida Itajubá,Itajubá,Alfredo Soares Móveis Planejados,"R. João Fonseca Júnior, 34 - Galpão 03",(35) 99160-8320,,Fornecedor de móveis planejados,5.0,8.0,"""A marcenaria deles é um exemplo de qualidade e dedicação.""",-22.432287,-45.470627
marcenaria sob medida Itajubá,Itajubá,Alex MARCENARIA - Itajuba- MG,"R. Santa Rita do Sapucaí, 66",(35) 99909-6841,,Escritório da empresa,,,,-22.424032,-45.468323
